,message,spanId,METHOD,traceId,username,@timestamp,is_anomaly
0,Programming  A large number of,b8db6d6b41394bdeae6e434cf280dc0e,M0,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:47.751692,False
1,Programming with Java Scripts: Java,b8db6d6b41394bdeae6e434cf280dc0e,M0,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:47.905692,False
2,Programming of NQs  ,b8db6d6b41394bdeae6e434cf280dc0e,M0,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:47.926692,False
3,"Programming_Module""   ",b8db6d6b41394bdeae6e434cf280dc0e,M0,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:47.986692,False
4,Programming/SOL32/ ,37aaa0d4f24c4993ab090077eeda9cba,M1,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.162692,False
5,Programming and Testing in Java  ,37aaa0d4f24c4993ab090077eeda9cba,M1,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.198692,False
6,Programming  In a nutshell:,b0029cd715624555a379067d02372196,M2,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.247692,False
7,Programming for learning online software and using,b0029cd715624555a379067d02372196,M2,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.422692,False
8,Programming on the web  I,b0029cd715624555a379067d02372196,M2,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.515692,False
9,Programming_Context & = 4;,65f594343f3e4d27aff0e6114f67d7ed,M3,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.710692,False
10,"Programming"">Samples</a>",65f594343f3e4d27aff0e6114f67d7ed,M3,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.768692,False
11,"Programming.py"", line 977",65f594343f3e4d27aff0e6114f67d7ed,M3,89fc6fc33f0b443da4fdcdfd690d6473,6cce0c05d8a64566b53d96189f062830,2023-06-16 16:47:48.967692,False
12,Programming  A large number of,b8db6d6b41394bdeae6e434cf280dc0e,M0,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.194692,False
13,Programming with Java Scripts: Java,b8db6d6b41394bdeae6e434cf280dc0e,M0,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.349692,False
14,Programming of NQs  ,b8db6d6b41394bdeae6e434cf280dc0e,M0,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.368692,False
15,"Programming_Module""   ",b8db6d6b41394bdeae6e434cf280dc0e,M0,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.547692,False
16,Programming/SOL32/ ,37aaa0d4f24c4993ab090077eeda9cba,M1,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.609692,False
17,Programming and Testing in Java  ,37aaa0d4f24c4993ab090077eeda9cba,M1,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.645692,False
18,Programming  In a nutshell:,b0029cd715624555a379067d02372196,M2,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.809692,False
19,Programming for learning online software and using,b0029cd715624555a379067d02372196,M2,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.864692,False
20,Programming on the web  I,b0029cd715624555a379067d02372196,M2,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.951692,False
21,Programming_Context & = 4;,65f594343f3e4d27aff0e6114f67d7ed,M3,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:50.968692,False
22,"Programming"">Samples</a>",65f594343f3e4d27aff0e6114f67d7ed,M3,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:51.165692,False
23,"Programming.py"", line 977",65f594343f3e4d27aff0e6114f67d7ed,M3,19f5edc91a424b19b8be4d3317dc9b66,7e4549f0e54147fa9fc2ff1cdac8839a,2023-06-16 16:47:51.276692,False
24,Programming  A large number of,b8db6d6b41394bdeae6e434cf280dc0e,M0,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.491692,False
25,Programming with Java Scripts: Java,b8db6d6b41394bdeae6e434cf280dc0e,M0,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.620692,False
26,Programming of NQs  ,b8db6d6b41394bdeae6e434cf280dc0e,M0,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.676692,False
27,"Programming_Module""   ",b8db6d6b41394bdeae6e434cf280dc0e,M0,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.736692,False
28,Programming/SOL32/ ,37aaa0d4f24c4993ab090077eeda9cba,M1,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.854692,False
29,Programming and Testing in Java  ,37aaa0d4f24c4993ab090077eeda9cba,M1,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:52.944692,False
30,Programming  In a nutshell:,b0029cd715624555a379067d02372196,M2,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:53.054692,False
31,Programming for learning online software and using,b0029cd715624555a379067d02372196,M2,f5be464580a84c8ca7919e7cf4353ef1,6e243ecba4664af88b774433146fe0db,2023-06-16 16:47:53.083692,False
